"","taxID","taxonomy","genome","Kingdom","Clade","Superphylum","Phylum","Class","Order","Family","Genus","Species","Sample","Abundance","Date","Site","Subsample"
"60","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"CW2_18-Apr",0,"18-Apr","CW","CW2"
"61","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"CW3_18-Apr",0,"18-Apr","CW","CW3"
"62","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"PW1_18-Apr",0,"18-Apr","PW","PW1"
"63","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"PW2_18-Apr",0,"18-Apr","PW","PW2"
"64","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"PW3_18-Apr",0,"18-Apr","PW","PW3"
"65","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"CW1_18-Jun",0,"18-Jun","CW","CW1"
"66","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"CW2_18-Jun",0,"18-Jun","CW","CW2"
"67","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"CW3_18-Aug",0,"18-Aug","CW","CW3"
"68","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"PW1_18-Aug",0,"18-Aug","PW","PW1"
"69","taxa38436","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;CBTY010000008;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales","CBTY010000008",NA,NA,"PW2_18-Aug",0,"18-Aug","PW","PW2"
